,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
16,16,16,Drumstick / Murungai Maram, 1, 18,2016-8-10
17,17,17,Nelli Kai, 1, 23,2016-8-10
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-8-10
19,19,19,Perkangkai, 1, 20,2016-8-10
20,20,20,Snake Guard / Pudalai, 1, 10,2016-8-10
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 5,2016-8-10
22,22,22,Sambar Vellari, 1, 8,2016-8-10
23,23,23,Bottle gourd / Suraikai, 1, 5,2016-8-10
24,24,24,Tomato / Thakkali, 1, 10,2016-8-10
25,25,25,Thatta payaru, 1, 20,2016-8-10
26,26,26,Lady’s Finger / Venda Kai, 1, 10,2016-8-10
27,27,27,Lemon / Elumbichai, 1, 60,2016-8-10
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 25,2016-9-10
1,1,1,Beans Kolee / Avarai Kolee, 1, 25,2016-9-10
2,2,2,Avarai ottu, 1, –,2016-9-10
3,3,3,Beans, 1, 30,2016-9-10
4,4,4,Beetroot, 1, 10,2016-9-10
5,5,5,Bellary / Big Onion, 1, 20,2016-9-10
6,6,6,Cauliflower, 1 Flower, 13,2016-9-10
7,7,7,Small Onion / Chinna Vengayam, 1, 15,2016-9-10
8,8,8,Chaw Chaw, 1, 20,2016-9-10
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 15,2016-9-10
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 15,2016-9-10
11,11,11,Cluster Beans / Kothavarai, 1, 8,2016-9-10
12,12,12,Samba Chilli / Milagai Samba, 1, 20,2016-9-10
13,13,13,Round Chilli / Milagai Urundai, 1, 20,2016-9-10
14,14,14,Radish / Mullangi, 1, 9,2016-9-10
15,15,15,Drumstick / Murungai Chedi, 1, 20,2016-9-10
16,16,16,Drumstick / Murungai Maram, 1, 16,2016-9-10
17,17,17,Nelli Kai, 1, 23,2016-9-10
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-9-10
19,19,19,Perkangkai, 1, 18,2016-9-10
20,20,20,Snake Guard / Pudalai, 1, 10,2016-9-10
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 4,2016-9-10
22,22,22,Sambar Vellari, 1, 3,2016-9-10
23,23,23,Bottle gourd / Suraikai, 1, 4,2016-9-10
24,24,24,Tomato / Thakkali, 1, 4,2016-9-10
25,25,25,Thatta payaru, 1, 20,2016-9-10
26,26,26,Lady’s Finger / Venda Kai, 1, 12,2016-9-10
27,27,27,Lemon / Elumbichai, 1, 90,2016-9-10
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 25,2016-0-11
1,1,1,Beans Kolee / Avarai Kolee, 1, 25,2016-0-11
2,2,2,Avarai ottu, 1, –,2016-0-11
3,3,3,Beans, 1, 35,2016-0-11
4,4,4,Beetroot, 1, 7,2016-0-11
5,5,5,Bellary / Big Onion, 1, 17,2016-0-11
6,6,6,Cauliflower, 1 Flower, 13,2016-0-11
7,7,7,Small Onion / Chinna Vengayam, 1, 20,2016-0-11
8,8,8,Chaw Chaw, 1, 22,2016-0-11
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 15,2016-0-11
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 15,2016-0-11
11,11,11,Cluster Beans / Kothavarai, 1, 10,2016-0-11
12,12,12,Samba Chilli / Milagai Samba, 1, 15,2016-0-11
13,13,13,Round Chilli / Milagai Urundai, 1, 15,2016-0-11
14,14,14,Radish / Mullangi, 1, 9,2016-0-11
15,15,15,Drumstick / Murungai Chedi, 1, 10,2016-0-11
16,16,16,Drumstick / Murungai Maram, 1, 7,2016-0-11
17,17,17,Nelli Kai, 1, 25,2016-0-11
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-0-11
19,19,19,Perkangkai, 1, 22,2016-0-11
20,20,20,Snake Guard / Pudalai, 1, 16,2016-0-11
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 5,2016-0-11
22,22,22,Sambar Vellari, 1, 5,2016-0-11
23,23,23,Bottle gourd / Suraikai, 1, 4,2016-0-11
24,24,24,Tomato / Thakkali, 1, 9,2016-0-11
25,25,25,Thatta payaru, 1, 20,2016-0-11
26,26,26,Lady’s Finger / Venda Kai, 1, 14,2016-0-11
27,27,27,Lemon / Elumbichai, 1, 90,2016-0-11
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2016-1-11
1,1,1,Beans Kolee / Avarai Kolee, 1, 30,2016-1-11
2,2,2,Avarai ottu, 1, –,2016-1-11
3,3,3,Beans, 1, 50,2016-1-11
4,4,4,Beetroot, 1, 7,2016-1-11
5,5,5,Bellary / Big Onion, 1, 35,2016-1-11
6,6,6,Cauliflower, 1 Flower, 15,2016-1-11
7,7,7,Small Onion / Chinna Vengayam, 1, 35,2016-1-11
8,8,8,Chaw Chaw, 1, 18,2016-1-11
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 35,2016-1-11
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 35,2016-1-11
11,11,11,Cluster Beans / Kothavarai, 1, 20,2016-1-11
12,12,12,Samba Chilli / Milagai Samba, 1, 40,2016-1-11
13,13,13,Round Chilli / Milagai Urundai, 1, 50,2016-1-11
14,14,14,Radish / Mullangi, 1, 8,2016-1-11
15,15,15,Drumstick / Murungai Chedi, 1, 70,2016-1-11
16,16,16,Drumstick / Murungai Maram, 1, 70,2016-1-11
17,17,17,Nelli Kai, 1, 22,2016-1-11
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-1-11
19,19,19,Perkangkai, 1, 20,2016-1-11
20,20,20,Snake Guard / Pudalai, 1, 27,2016-1-11
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 7,2016-1-11
22,22,22,Sambar Vellari, 1, 10,2016-1-11
23,23,23,Bottle gourd / Suraikai, 1, 25,2016-1-11
24,24,24,Tomato / Thakkali, 1, 40,2016-1-11
25,25,25,Thatta payaru, 1, 30,2016-1-11
26,26,26,Lady’s Finger / Venda Kai, 1, 30,2016-1-11
27,27,27,Lemon / Elumbichai, 1, 70,2016-1-11
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2016- 1-1
1,1,1,Beans Kolee / Avarai Kolee, 1, 30,2016- 1-1
2,2,2,Avarai ottu, 1, –,2016- 1-1
3,3,3,Beans, 1, 50,2016- 1-1
